"Source:","/home/heller/RRCircuits/ESP32-PWMHalfSidingSMD/ESP32-PWMHalfSidingSMD.sch"
"Date:","Fri 17 Dec 2021 03:16:03 PM EST"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mouser Part Number"
"","","U603","TBD62X83A","tbd62x83a:TBD62X83A","Housings_SOIC:SOIC-18W_7.5x11.6mm_Pitch1.27mm","","757-TBD62083AFG or 757-TBD62783AFG"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mouser Part Number"
"1","3","C1, C7, C601",".1 uf","ESP32-PWMHalfSidingSMD-cache:C-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:C_0603","","710-885012206095"
"2","1","C2","15 uf 15V","ESP32-PWMHalfSidingSMD-cache:CP1-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:CP_Elec_4x5.7","","647-UUD1C150MCL"
"3","1","C3","47 nf","ESP32-PWMHalfSidingSMD-cache:C-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:C_0603","","710-885012206093"
"4","1","C4","220 uf 25V","ESP32-PWMHalfSidingSMD-cache:CP1-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:CP_Elec_8x10","","647-UWT1E221MNL1GS"
"5","1","C5","22 uf 100V","ESP32-PWMHalfSidingSMD-cache:CP1-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:CP_Elec_8x10","","647-UUX2A220MNL6GS"
"6","3","D1, D2, D601","DFLS240-7","ESP32-PWMHalfSidingSMD-cache:DIODESCH","Diodes_SMD:D_SMB","","621-DFLS240-7"
"7","1","D3","CMSH1-60 TR13","ESP32-PWMHalfSidingSMD-cache:DIODESCH","Diodes_SMD:D_SMB","","610-CMSH1-60TR13"
"8","2","D4, D5","BRIDGEX","bridge:BRIDGEX","Z4DGP:Z4DGP","","750-Z4DGP406L-HF "
"9","2","D6, D7","LED","device:LED","LEDs:LED_0603","","710-150060SS55040"
"10","2","IC1, IC2","MCT6H","mct6h:MCT6H","SMT8:SMT8","","512-MCT6SD"
"11","2","J1, J2","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","710-615008144221"
"12","1","J3","22 SCL 23","conn:Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","",""
"13","1","JP1","Termination","ESP32-PWMHalfSidingSMD-cache:CONN_2X2","Pin_Headers:Pin_Header_Angled_2x02_Pitch2.54mm","","649-67997-404HLF"
"14","2","JP2, JP3","0","device:R","Resistors_SMD:R_0603","","71-CRCW06030000Z0EBC"
"15","8","JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11","0","device:R","Resistors_SMD:R_1206","","71-CRCW12060000Z0EBC"
"16","1","L1","330 uh","ESP32-PWMHalfSidingSMD-cache:INDUCTOR_SMALL","SRN1060:SRN1060","","652-SRN1060-331M"
"17","1","P601","C A0 A1 A2 A3 A4 A5 A6 A7","ESP32-PWMHalfSidingSMD-cache:CONN_9","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_9pol","","651-1725724"
"18","1","P602","C B0 B1 B2 B3 B4 B5 B6 B7","ESP32-PWMHalfSidingSMD-cache:CONN_9","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_9pol","","651-1725724"
"19","2","Q1, Q2","MMBT3904","transistors:MMBT3904","TO_SOT_Packages_SMD:SOT-23","","771-MMBT3904T/R"
"20","2","R1, R2","60 Ohms","ESP32-PWMHalfSidingSMD-cache:R-RESCUE-ESP32-PWMHalfSidingSMD","Resistors_SMD:R_1206","","71-CRCW120660R0KNAIF"
